step	loss
0	0.13681039214134216
1	0.1311623901128769
2	0.12141165882349014
3	0.12145417183637619
4	0.1208428293466568
5	0.11715876311063766
6	0.11632518470287323
7	0.11642182618379593
8	0.11208069324493408
9	0.10952815413475037
10	0.10603854060173035
11	0.10323905199766159
12	0.10047364234924316
13	0.09408662468194962
14	0.09010890126228333
15	0.08779458701610565
16	0.08336486667394638
17	0.08303678035736084
18	0.07612843811511993
19	0.07173267751932144
20	0.06649655848741531
21	0.06025730445981026
22	0.058111365884542465
23	0.05186045914888382
24	0.05170060321688652
25	0.042129769921302795
26	0.04137427732348442
27	0.04006188362836838
28	0.03583327308297157
29	0.03559933975338936
30	0.03047739900648594
31	0.030735140666365623
32	0.027085116133093834
33	0.026143601164221764
34	0.026270559057593346
35	0.025815362110733986
36	0.026175586506724358
37	0.023830557242035866
38	0.023274220526218414
39	0.021401114761829376
40	0.021651044487953186
41	0.02202964387834072
42	0.021863706409931183
43	0.020626097917556763
44	0.01925906352698803
45	0.018725240603089333
46	0.019076339900493622
47	0.020278450101614
48	0.018226224929094315
49	0.019545361399650574
