step,train_f1,test_f1
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.045454545454545456,0.0
12,0.045454545454545456,0.0
13,0.045454545454545456,0.0
14,0.045454545454545456,0.0
15,0.045454545454545456,0.0
16,0.045454545454545456,0.0
17,0.08888888888888889,0.0
18,0.4074074074074074,0.0
19,0.4642857142857143,0.125
20,0.5423728813559322,0.125
21,0.5901639344262295,0.125
22,0.5901639344262295,0.125
23,0.6129032258064516,0.125
24,0.6129032258064516,0.3333333333333333
25,0.6129032258064516,0.3333333333333333
26,0.6129032258064516,0.3333333333333333
27,0.6129032258064516,0.3333333333333333
28,0.6349206349206349,0.3157894736842105
29,0.6349206349206349,0.3157894736842105
30,0.6349206349206349,0.3157894736842105
31,0.6349206349206349,0.3157894736842105
32,0.6349206349206349,0.3157894736842105
33,0.6349206349206349,0.3157894736842105
34,0.6349206349206349,0.3157894736842105
35,0.6349206349206349,0.3157894736842105
36,0.6349206349206349,0.3157894736842105
37,0.6349206349206349,0.3157894736842105
38,0.6349206349206349,0.3157894736842105
39,0.6349206349206349,0.3157894736842105
40,0.6349206349206349,0.3157894736842105
41,0.6349206349206349,0.3157894736842105
42,0.6349206349206349,0.3157894736842105
43,0.6349206349206349,0.3157894736842105
44,0.6349206349206349,0.3157894736842105
45,0.6349206349206349,0.3157894736842105
46,0.6349206349206349,0.3157894736842105
47,0.6349206349206349,0.3157894736842105
48,0.6349206349206349,0.3157894736842105
49,0.6349206349206349,0.3157894736842105
